PROCEDIMENTO,"RN(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZACAO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,135.0,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIACAO COM FISIOTERAPEUTA,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MEDICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA INICIAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA DE URGENCIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA PARA AVALIACAO TECNICA DE AUDITORIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIACAO COM PSICOLOGO,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSAO COM PSICOLOGO,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIACAO COM FONOAUDIOLOGO,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSAO COM FONOAUDIOLOGO,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZACAO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,103.0,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIACAO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSAO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MEDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAUDE",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE CORNEA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE MEDULA OSSEA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE HEPATICO,546/2022,03/10/2022,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE RENAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO DE TRANSPLANTE HEPATICO NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR,546/2022,03/10/2022,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO DE TRANSPLANTE RENAL NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
AVALIACAO CLINICA DIARIA ENTERAL E/OU PARENTERAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
"AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDIACO ELETRONICO IMPLANTAVEL (MARCA-PASSO, ESTIMULADOR MULTISSITIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSAO ELETRICA COM ELETROCARDIOGRAMA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,Seg. Odontológica,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
"FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZACAO - PROUT)",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PROFILAXIA: POLIMENTO CORONARIO,,,Seg. Odontológica,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ANTINEOPLASICA ORAL PARA TRATAMENTO DO CANCER (COM DIRETRIZ DE UTILIZACAO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,64.0,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TESTE DE PROVOCACAO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZACAO),536/2022,06/05/2022,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,152.0,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLASICOS (COM DIRETRIZ DE UTILIZACAO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,54.0,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CARDIOTOCOGRAFIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALOGICO OU DIGITAL,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZACAO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,56.0,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZACAO RESIDENCIAL DA PRESSAO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZACAO,581/2023,12/072023,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,162.0,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO DA PRESSAO INTRACRANIANA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO HEMODINAMICA INVASIVA OU NAO INVASIVA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO NEUROFISIOLOGICA INTRA-OPERATORIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATORIO - MONITORIZACAO CIRURGICA (PE/IO),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TESTE DE INCLINACAO ORTOSTATICA (TILT TEST) - COM DIRETRIZ DE UTILIZACAO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,67.0,MONITORIZACOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ADAPTACAO E TREINAMENTO DE RECURSOS OPTICOS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
AMPUTACAO (PREPARACAO DO COTO E TREINAMENTO PROTETICO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
BIOFEEDBACK COM EMG,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
EXERCICIOS DE ORTOPTICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,,,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
INFILTRACAO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQUELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO LABIRINTICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUACACAO E REABILITACAO DE QUEIMADOS PARA PREVENCAO DE SEQUELAS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO CARDIOVASCULAR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO DO SISTEMA LINFATICO E/OU VASCULAR PERIFERICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO DO SISTEMA MUSCULO-ESQUELETICO POR DISTURBIOS CONGENITOS OU REUMATICOS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NEUROLOGICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NEURO-MUSCULO-ESQUELETICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO RESPIRATORIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO TRAUMATO-ORTOPEDICA (EXCLUI TECNICAS CINESIOTERAPICAS ESPECIFICAS),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E/OU REABILITACAO DE DISTURBIOS CRANIO-FACIAIS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
